season,league_position,club,player_name,transfer_direction,transfer_type,transfer_value,net_transfer
2009/10,10,Blackburn Rovers,Benni McCarthy,Received,Full Transfer,2.6,-2.6
2009/10,10,Blackburn Rovers,Paul Gallagher,Received,Full Transfer,0.85,-0.85
2009/10,11,Stoke City,Robert Huth,Spent,Full Transfer,7,7
2009/10,11,Stoke City,Tuncay Sanli,Spent,Full Transfer,5.7,5.7
2009/10,11,Stoke City,Asmir Begovic,Spent,Full Transfer,3.75,3.75
2009/10,11,Stoke City,Dean Whitehead,Spent,Full Transfer,3.5,3.5
2009/10,11,Stoke City,Danny Collins,Spent,Full Transfer,3.1,3.1
2009/10,11,Stoke City,Diego Arismendi,Spent,Full Transfer,3,3
2009/10,11,Stoke City,Seyi Olofinjana,Received,Full Transfer,3.5,-3.5
2009/10,11,Stoke City,Leon Cort,Received,Full Transfer,1.8,-1.8
2009/10,11,Stoke City,Richard Cresswell,Received,Full Transfer,1.2,-1.2
2009/10,12,Fulham,Damien Duff,Spent,Full Transfer,4,4
2009/10,12,Fulham,Bjorn Helge Riise,Spent,Full Transfer,2,2
2009/10,12,Fulham,David Elm,Spent,Full Transfer,0.6,0.6
2009/10,12,Fulham,Kagisho Dikgacoi,Spent,Full Transfer,0.3,0.3
2009/10,12,Fulham,Stefano Okaka,Spent,Loan Fee,0.17,0.17
2009/10,12,Fulham,Stefan Payne,Spent,Full Transfer,0.03,0.03
2009/10,13,Sunderland,Michael Turner,Spent,Full Transfer,13.6,13.6
2009/10,13,Sunderland,Darren Bent,Spent,Full Transfer,11.8,11.8
2009/10,13,Sunderland,Lee Cattermole,Spent,Full Transfer,7,7
2009/10,13,Sunderland,Lorik Cana,Spent,Full Transfer,5.8,5.8
2009/10,13,Sunderland,Frazier Campbell,Spent,Full Transfer,4.1,4.1
2009/10,13,Sunderland,Matthew Kilgallon,Spent,Full Transfer,2.3,2.3
2009/10,13,Sunderland,John Mensah,Spent,Loan Fee,1.5,1.5
2009/10,13,Sunderland,Michael Chopra,Received,Full Transfer,4.7,-4.7
2009/10,13,Sunderland,Dean Whitehead,Received,Full Transfer,3.5,-3.5
2009/10,13,Sunderland,Danny Collins,Received,Full Transfer,3.1,-3.1
2009/10,13,Sunderland,Grant Leadbitter,Received,Full Transfer,3,-3
2009/10,13,Sunderland,Paul McShane,Received,Full Transfer,2.5,-2.5
2009/10,13,Sunderland,Greg Halford,Received,Full Transfer,2.4,-2.4
2009/10,13,Sunderland,Carlos Edwards,Received,Full Transfer,1.5,-1.5
2009/10,13,Sunderland,Anthony Stokes,Received,Full Transfer,0.57,-0.57
2009/10,14,Bolton Wanderers,Zat Kinght,Spent,Full Transfer,4.7,4.7
2009/10,14,Bolton Wanderers,Chung Yong Lee,Spent,Full Transfer,2.5,2.5
2009/10,14,Bolton Wanderers,Sam Ricketts,Spent,Full Transfer,2.4,2.4
2009/10,14,Bolton Wanderers,Paul Robinson,Spent,Full Transfer,1.2,1.2
2009/10,14,Bolton Wanderers,Mark Connolly,Spent,Full Transfer,1.2,1.2
2009/10,14,Bolton Wanderers,Blerim Dzemaili,Received,Full Transfer,2,-2
2009/10,15,Wolverhampton Wanderers,Kevin Doyle,Spent,Full Transfer,7.6,7.6
2009/10,15,Wolverhampton Wanderers,Ronald Zubar,Spent,Full Transfer,3,3
2009/10,15,Wolverhampton Wanderers,Nenad Milijas,Spent,Full Transfer,2.8,2.8
2009/10,15,Wolverhampton Wanderers,Greg Halford,Spent,Full Transfer,2.4,2.4
2009/10,15,Wolverhampton Wanderers,Stefan Maierhofer,Spent,Full Transfer,2,2
2009/10,15,Wolverhampton Wanderers,Andrew Surman,Spent,Full Transfer,1.4,1.4
2009/10,15,Wolverhampton Wanderers,Segundo Castillo,Spent,Loan Fee,0.25,0.25
2009/10,15,Wolverhampton Wanderers,Darren Potter,Received,Full Transfer,0.4,-0.4
2009/10,15,Wolverhampton Wanderers,Neill Collins,Received,Full Transfer,0.24,-0.24
2009/10,15,Wolverhampton Wanderers,Elliott Bennett,Received,Full Transfer,0.23,-0.23
2009/10,16,Wigan Athletic,James McCarthy,Spent,Full Transfer,5.1,5.1
2009/10,16,Wigan Athletic,Victor Moses,Spent,Full Transfer,3,3
2009/10,16,Wigan Athletic,Mohamed Diame,Spent,Full Transfer,3,3
2009/10,16,Wigan Athletic,Jordi Gomez,Spent,Full Transfer,2.45,2.45
2009/10,16,Wigan Athletic,Jason Scotland,Spent,Full Transfer,2.3,2.3
2009/10,16,Wigan Athletic,Gary Caldwell,Spent,Full Transfer,1.1,1.1
2009/10,16,Wigan Athletic,Antonio Amaya,Spent,Full Transfer,0.8,0.8
2009/10,16,Wigan Athletic,Marcelo Moreno,Spent,Loan Fee,0.68,0.68
2009/10,16,Wigan Athletic,Antonio Valencia,Received,Full Transfer,18.9,-18.9
2009/10,16,Wigan Athletic,Lee Cattermole,Received,Full Transfer,7,-7
2009/10,16,Wigan Athletic,Daniel de Ridder,Received,Loan Fee,0.18,-0.18
2009/10,17,West Ham United,Alessandro Diamanti,Spent,Full Transfer,6.8,6.8
2009/10,17,West Ham United,Radoslav Kovac,Spent,Full Transfer,3.8,3.8
2009/10,17,West Ham United,Herita Ilunga,Spent,Full Transfer,3.5,3.5
2009/10,17,West Ham United,Manuel da Costa,Spent,Full Transfer,2.7,2.7
2009/10,17,West Ham United,Benni McCarthy,Spent,Full Transfer,2.6,2.6
2009/10,17,West Ham United,Fabio Daprela,Spent,Full Transfer,1.2,1.2
2009/10,17,West Ham United,Luis Jimenez,Spent,Loan Fee,0.6,0.6
2009/10,17,West Ham United,Peter Kurucz,Spent,Full Transfer,0.45,0.45
2009/10,17,West Ham United,Carlos Tevez,Received,Full Transfer,29,-29
2009/10,17,West Ham United,Savio Nsereko,Received,Full Transfer,6.2,-6.2
2009/10,17,West Ham United,James Collins ,Received,Full Transfer,5.7,-5.7
2009/10,17,West Ham United,Kyel Reid,Received,Full Transfer,0.4,-0.4
2009/10,18,Burnley,Steven Fletcher,Spent,Full Transfer,4.7,4.7
2009/10,18,Burnley,Andre Bikey Amougou,Spent,Full Transfer,3.25,3.25
2009/10,18,Burnley,Danny Fox,Spent,Full Transfer,2.1,2.1
2009/10,18,Burnley,Leon Cort,Spent,Full Transfer,1.8,1.8
2009/10,18,Burnley,Tyrone Mears,Spent,Full Transfer,0.59,0.59
2009/10,18,Burnley,Brian Easton,Spent,Full Transfer,0.4,0.4
2009/10,18,Burnley,David Edgar,Spent,Full Transfer,0.35,0.35
2009/10,18,Burnley,Kevin Long,Spent,Full Transfer,0.35,0.35
2009/10,18,Burnley,Besart Berisha,Received,Full Transfer,0.09,-0.09
2009/10,19,Hull City,Stephen Hunt,Spent,Full Transfer,4,4
2009/10,19,Hull City,Seyi Olofinjana,Spent,Full Transfer,3.5,3.5
2009/10,19,Hull City,Paul McShane,Spent,Full Transfer,2.5,2.5
2009/10,19,Hull City,Steven Mouyokolo,Spent,Full Transfer,2.15,2.15
2009/10,19,Hull City,Kamel Ghilas,Spent,Full Transfer,2,2
2009/10,19,Hull City,Amr Zaki,Spent,Loan Fee,0.7,0.7
2009/10,19,Hull City,Michael Turner,Received,Full Transfer,13.6,-13.6
2009/10,19,Hull City,Sam Ricketts,Received,Full Transfer,2.4,-2.4
2009/10,19,Hull City,Daniel Cousin,Received,Loan Fee,0.2,-0.2
2009/10,20,Portsmouth,Kevin Prince Boateng,Spent,Full Transfer,4.5,4.5
2009/10,20,Portsmouth,Mike Williamson,Spent,Full Transfer,2.3,2.3
2009/10,20,Portsmouth,Tommy Smith,Spent,Full Transfer,2,2
2009/10,20,Portsmouth,Aruna Dindane,Spent,Loan Fee,0.5,0.5
2009/10,20,Portsmouth,Frederic Piquionne,Spent,Loan Fee,0.5,0.5
2009/10,20,Portsmouth,Hassan Yebda,Spent,Loan Fee,0.48,0.48
2009/10,20,Portsmouth,Quincy Owusu Abeyie,Spent,Loan Fee,0.28,0.28
2009/10,20,Portsmouth,Glen Johnson,Received,Full Transfer,20.5,-20.5
2009/10,20,Portsmouth,Peter Crouch,Received,Full Transfer,10.5,-10.5
2009/10,20,Portsmouth,Sylvain Distin,Received,Full Transfer,6.5,-6.5
2009/10,20,Portsmouth,Younes Kaboul,Received,Full Transfer,5.9,-5.9
2009/10,20,Portsmouth,Asmir Begovic,Received,Full Transfer,3.75,-3.75
2009/10,20,Portsmouth,Niko Kranjcar,Received,Full Transfer,2.8,-2.8
2009/10,20,Portsmouth,Mike Williamson,Received,Full Transfer,1.1,-1.1
2009/10,20,Portsmouth,Martin Cranie,Received,Full Transfer,1,-1
2010/11,1,Manchester United,Bebe,Spent,Full Transfer,8.8,8.8
2010/11,1,Manchester United,Chris Smalling,Spent,Full Transfer,8,8
2010/11,1,Manchester United,Chicharito,Spent,Full Transfer,7.5,7.5
2010/11,1,Manchester United,Ander Lindegaard,Spent,Full Transfer,5,5
2010/11,1,Manchester United,Zoran Tosic,Received,Full Transfer,9.5,-9.5
2010/11,1,Manchester United,Ben Foster,Received,Full Transfer,7,-7
2010/11,1,Manchester United,Federico Macheda,Received,Loan Fee,0.46,-0.46
2010/11,1,Manchester United,Cameron Stewart,Received,Full Transfer,0.45,-0.45
2010/11,1,Manchester United,James Chester,Received,Full Transfer,0.35,-0.35
2010/11,2,Chelsea,Fernando Torres,Spent,Full Transfer,58.5,58.5
2010/11,2,Chelsea,David Luiz,Spent,Full Transfer,25,25
2010/11,2,Chelsea,Ramires,Spent,Full Transfer,22,22
2010/11,2,Chelsea,Yossi Benayoun,Spent,Full Transfer,7,7
2010/11,2,Chelsea,Tomas Kalas,Spent,Full Transfer,6,6
2010/11,2,Chelsea,Matej Delac,Spent,Full Transfer,3,3
2010/11,2,Chelsea,Richard Carvalho,Received,Full Transfer,8,-8
2010/11,2,Chelsea,Miroslav Stoch,Received,Full Transfer,5.5,-5.5
2010/11,2,Chelsea,Franco Di Santo,Received,Full Transfer,2.4,-2.4
2010/11,2,Chelsea,Scott Sinclair,Received,Full Transfer,0.6,-0.6
2010/11,3,Manchester City,Edin Dzeko,Spent,Full Transfer,37,37
2010/11,3,Manchester City,Yaya Toure,Spent,Full Transfer,30,30
2010/11,3,Manchester City,Mario Balotelli,Spent,Full Transfer,29.5,29.5
2010/11,3,Manchester City,David Silva,Spent,Full Transfer,28.75,28.75
2010/11,3,Manchester City,Aleksandar Kolarov,Spent,Full Transfer,22.7,22.7
2010/11,3,Manchester City,James Milner,Spent,Full Transfer,22,22
2010/11,3,Manchester City,Jerome Boateng,Spent,Full Transfer,12.5,12.5
2010/11,3,Manchester City,Robinho,Received,Full Transfer,18,-18
2010/11,3,Manchester City,Stephen Ireland,Received,Full Transfer,9.7,-9.7
2010/11,3,Manchester City,Emmanuel Adebayor,Received,Loan Fee,4,-4
2010/11,3,Manchester City,Javier Garrido,Received,Full Transfer,2.5,-2.5
2010/11,3,Manchester City,Valeri Baojinov,Received,Full Transfer,2,-2
2010/11,3,Manchester City,Vladimir Weiss,Received,Loan Fee,0.6,-0.6
2010/11,3,Manchester City,Wayne Bridge,Received,Loan Fee,0.35,-0.35
2010/11,3,Manchester City,David Ball,Received,Full Transfer,0.06,-0.06
2010/11,4,Arsenal,Laurent Koscielny,Spent,Full Transfer,12.5,12.5
2010/11,4,Arsenal,Sebastien Squillaci,Spent,Full Transfer,6.5,6.5
2010/11,4,Arsenal,Wellington Silva,Spent,Full Transfer,4,4
2010/11,4,Arsenal,Eduardo,Received,Full Transfer,7.2,-7.2
2010/11,4,Arsenal,Jay Simpson,Received,Full Transfer,1.5,-1.5
2010/11,4,Arsenal,Armand Traore,Received,Loan Fee,0.5,-0.5
2010/11,4,Arsenal,Nacer Barazite,Received,Full Transfer,0.4,-0.4
2010/11,5,Tottenham Hotspur,Rafael van der Vaart,Spent,Full Transfer,10.5,10.5
2010/11,5,Tottenham Hotspur,Sandro,Spent,Full Transfer,10,10
2010/11,5,Tottenham Hotspur,Steven Pienaar,Spent,Full Transfer,3.6,3.6
2010/11,5,Tottenham Hotspur,Bongani Khumalo,Spent,Full Transfer,1.8,1.8
2010/11,5,Tottenham Hotspur,Stipe Pletikosa,Spent,Loan Fee,0.7,0.7
2010/11,5,Tottenham Hotspur,Adel Taarabt,Received,Full Transfer,1.2,-1.2
2010/11,5,Tottenham Hotspur,Robbie Keane,Received,Loan Fee,1.2,-1.2
2010/11,5,Tottenham Hotspur,Giovani dos Santos,Received,Loan Fee,0.3,-0.3
2010/11,5,Tottenham Hotspur,Kyle Walker,Received,Loan Fee,0.23,-0.23
2010/11,6,Liverpool,Andy Carroll,Spent,Full Transfer,41,41
2010/11,6,Liverpool,Luis Suarez,Spent,Full Transfer,26.5,26.5
2010/11,6,Liverpool,Raul Miereles,Spent,Full Transfer,13,13
2010/11,6,Liverpool,Christian Poulsen,Spent,Full Transfer,5.48,5.48
2010/11,6,Liverpool,Paul Konchesky,Spent,Full Transfer,4,4
2010/11,6,Liverpool,Brad Jones,Spent,Full Transfer,2.8,2.8
2010/11,6,Liverpool,Danny Wilson,Spent,Full Transfer,2.75,2.75
2010/11,6,Liverpool,Jonjo Shelvey,Spent,Full Transfer,2,2
2010/11,6,Liverpool,Fernando Torres,Received,Full Transfer,58.5,-58.5
2010/11,6,Liverpool,Javier Mascherano,Received,Full Transfer,20,-20
2010/11,6,Liverpool,Yossi Benayoun,Received,Full Transfer,7,-7
2010/11,6,Liverpool,Ryan Babel,Received,Full Transfer,7,-7
2010/11,6,Liverpool,Albert Riera,Received,Full Transfer,6,-6
2010/11,6,Liverpool,Krisztian Nemeth,Received,Full Transfer,1.2,-1.2
2010/11,6,Liverpool,Damien Plessis,Received,Full Transfer,0.8,-0.8
2010/11,6,Liverpool,Emiliano Insua,Received,Loan Fee,0.75,-0.75
2010/11,6,Liverpool,Nabil El Zhar,Received,Loan Fee,0.25,-0.25
2010/11,7,Everton,Magaye Gueye,Spent,Full Transfer,1.4,1.4
2010/11,7,Everton,Apostolos Vellios,Spent,Full Transfer,0.3,0.3
2010/11,7,Everton,Steven Pienaar,Received,Full Transfer,3.6,-3.6
2010/11,7,Everton,Yakubu Aiyegbeni,Received,Loan Fee,1.2,-1.2
2010/11,7,Everton,John Ruddy,Received,Full Transfer,0.6,-0.6
2010/11,7,Everton,Joseph Yobo,Received,Loan Fee,0.6,-0.6
2010/11,7,Everton,Lukas Jutkiewicz,Received,Full Transfer,0.6,-0.6
2010/11,8,Fulham,Mousa Dembele,Spent,Full Transfer,6,6
2010/11,8,Fulham,Rafik Halliche,Spent,Full Transfer,2.5,2.5
2010/11,8,Fulham,Carlos Salcido,Spent,Full Transfer,1.95,1.95
2010/11,8,Fulham,Steve Sidwell,Spent,Full Transfer,0.6,0.6
2010/11,8,Fulham,Chris Smalling,Received,Full Transfer,8,-8
2010/11,8,Fulham,Paul Konchesky,Received,Full Transfer,4,-4
2010/11,8,Fulham,David Elm,Received,Full Transfer,0.36,-0.36
2010/11,9,Aston Villa,Darren Bent,Spent,Full Transfer,21.5,21.5
2010/11,9,Aston Villa,Stephen Ireland,Spent,Full Transfer,9.7,9.7
2010/11,9,Aston Villa,Jean II Makoun,Spent,Full Transfer,6.2,6.2
2010/11,9,Aston Villa,James Milner,Received,Full Transfer,22,-22
2010/11,9,Aston Villa,Curtis Davies,Received,Full Transfer,4,-4
2010/11,9,Aston Villa,Nicky Shorey,Received,Full Transfer,1.8,-1.8
2010/11,9,Aston Villa,Steve Sidwell,Received,Full Transfer,0.6,-0.6
2010/11,10,Sunderland,Asamoah Gyan,Spent,Full Transfer,16,16
2010/11,10,Sunderland,Stephane Sessegnon,Spent,Full Transfer,7,7
2010/11,10,Sunderland,Simon Mignolet,Spent,Full Transfer,2.5,2.5
2010/11,10,Sunderland,Marco Angeleri,Spent,Full Transfer,1.8,1.8
2010/11,10,Sunderland,Titus Bramble,Spent,Full Transfer,1.2,1.2
2010/11,10,Sunderland,Ahmed Elmohamady,Spent,Loan Fee,0.6,0.6
2010/11,10,Sunderland,Darren Bent,Received,Full Transfer,21.5,-21.5
2010/11,10,Sunderland,Kenwyne Jones,Received,Full Transfer,9.7,-9.7
2010/11,10,Sunderland,Lorik Cana,Received,Full Transfer,4.5,-4.5
2010/11,10,Sunderland,Martyn Waghorn,Received,Full Transfer,3.6,-3.6
2010/11,10,Sunderland,Daryl Murphy,Received,Full Transfer,1.7,-1.7
2010/11,10,Sunderland,Marton Fulop,Received,Full Transfer,0.42,-0.42
2010/11,10,Sunderland,Paulo da Silva,Received,Full Transfer,0.35,-0.35
2010/11,11,West Bromwich Albion,Peter Odemwingie,Spent,Full Transfer,3,3
2010/11,11,West Bromwich Albion,Somen Tchoyi,Spent,Full Transfer,3,3
2010/11,11,West Bromwich Albion,Marc Antoine Fortune,Spent,Full Transfer,3,3
2010/11,11,West Bromwich Albion,Nicky Shorey,Spent,Full Transfer,1.8,1.8
2010/11,11,West Bromwich Albion,Boaz Myhill,Spent,Full Transfer,1.8,1.8
2010/11,11,West Bromwich Albion,Gabriel Tamas,Spent,Full Transfer,0.93,0.93
2010/11,11,West Bromwich Albion,Craig Dawson,Spent,Full Transfer,0.3,0.3
2010/11,11,West Bromwich Albion,Luke Moore,Received,Full Transfer,1,-1
2010/11,11,West Bromwich Albion,Leon Barnett,Received,Full Transfer,0.85,-0.85
2010/11,12,Newcastle United,Hatem Ben Arfa,Spent,Full Transfer,6,6
2010/11,12,Newcastle United,Cheik Tiote,Spent,Full Transfer,4.28,4.28
2010/11,12,Newcastle United,Hatem Ben Arfa,Spent,Loan Fee,2.5,2.5
2010/11,12,Newcastle United,James Perch,Spent,Full Transfer,1.2,1.2
2010/11,12,Newcastle United,Andy Carroll,Received,Full Transfer,41,-41
2010/11,12,Newcastle United,Fraser Forster,Received,Loan Fee,0.75,-0.75
2010/11,13,Stoke City,Kenwyne Jones,Spent,Full Transfer,9.7,9.7
2010/11,13,Stoke City,Marc Wilson,Spent,Full Transfer,3.6,3.6
2010/11,13,Stoke City,Jonathan Walters,Spent,Full Transfer,3.3,3.3
2010/11,13,Stoke City,Eidur Gudjohnsen,Spent,Full Transfer,2.5,2.5
2010/11,13,Stoke City,Jermaine Pennant,Spent,Full Transfer,2,2
2010/11,13,Stoke City,Tuncay Sanli,Received,Full Transfer,4.5,-4.5
2010/11,13,Stoke City,James Beattie,Received,Full Transfer,1.8,-1.8
2010/11,13,Stoke City,Andy Griffin,Received,Full Transfer,0.47,-0.47
2010/11,14,Bolton Wanderers,David Wheater,Spent,Full Transfer,2.75,2.75
2010/11,14,Bolton Wanderers,Marcos Alonso,Spent,Full Transfer,2.4,2.4
2010/11,14,Bolton Wanderers,Tom Eaves,Spent,Full Transfer,0.24,0.24
2010/11,14,Bolton Wanderers,Chris Basham,Received,Full Transfer,1.4,-1.4
2010/11,15,Blackburn Rovers,Mauro Formica,Spent,Full Transfer,4,4
2010/11,15,Blackburn Rovers,Jermaine Jones,Spent,Loan Fee,0.6,0.6
2010/11,15,Blackburn Rovers,Ruben Rochina,Spent,Full Transfer,0.45,0.45
2010/11,15,Blackburn Rovers,Alex Marrow,Received,Full Transfer,0.27,-0.27
2010/11,16,Wigan Athletic,Ronnie Stam,Spent,Full Transfer,4,4
2010/11,16,Wigan Athletic,Mauro Boselli,Spent,Full Transfer,3.7,3.7
2010/11,16,Wigan Athletic,Franco Di Santo,Spent,Full Transfer,2.4,2.4
2010/11,16,Wigan Athletic,Conor Sammon,Spent,Full Transfer,0.7,0.7
2010/11,16,Wigan Athletic,James McArthur,Spent,Full Transfer,0.6,0.6
2010/11,16,Wigan Athletic,Titus Bramble,Received,Full Transfer,1.2,-1.2
2010/11,16,Wigan Athletic,Jason Scotland,Received,Full Transfer,1.2,-1.2
2010/11,16,Wigan Athletic,Mauro Boselli,Received,Loan Fee,1,-1
2010/11,17,Wolverhampton Wanderers,Steven Fletcher,Spent,Full Transfer,7.2,7.2
2010/11,17,Wolverhampton Wanderers,Stephen Hunt,Spent,Full Transfer,3.6,3.6
2010/11,17,Wolverhampton Wanderers,Jelle Van Damme,Spent,Full Transfer,3.25,3.25
2010/11,17,Wolverhampton Wanderers,Steven Mouyokolo,Spent,Full Transfer,3,3
2010/11,17,Wolverhampton Wanderers,Adlene Guedioura,Spent,Full Transfer,2.3,2.3
2010/11,17,Wolverhampton Wanderers,Adam Hammill,Spent,Full Transfer,0.6,0.6
2010/11,17,Wolverhampton Wanderers,Leigh Griffiths,Spent,Full Transfer,0.17,0.17
2010/11,17,Wolverhampton Wanderers,Matt Doherty,Spent,Full Transfer,0.02,0.02
2010/11,17,Wolverhampton Wanderers,Jelle Van Damme,Received,Full Transfer,2.5,-2.5
2010/11,17,Wolverhampton Wanderers,Andrew Surman,Received,Full Transfer,1.68,-1.68
2010/11,17,Wolverhampton Wanderers,Jason Shackell,Received,Full Transfer,0.78,-0.78
2010/11,17,Wolverhampton Wanderers,Chris Iwelumo,Received,Full Transfer,0.75,-0.75
2010/11,18,Birmingham City,Nikola Zigic,Spent,Full Transfer,7,7
2010/11,18,Birmingham City,Ben Foster,Spent,Full Transfer,7,7
2010/11,18,Birmingham City,Jean Beausejour ,Spent,Full Transfer,4.8,4.8
2010/11,18,Birmingham City,Curtis Davies,Spent,Full Transfer,4,4
2010/11,18,Birmingham City,Aleksandr Hleb,Spent,Loan Fee,1.2,1.2
2010/11,18,Birmingham City,Martin Jiranek,Spent,Full Transfer,0.6,0.6
2010/11,18,Birmingham City,Matt Derbyshire,Spent,Loan Fee,0.6,0.6
2010/11,18,Birmingham City,Obafemi Martins,Spent,Loan Fee,0.4,0.4
2010/11,18,Birmingham City,Michel,Received,Loan Fee,0.17,-0.17
2010/11,19,Blackpool,Elliot Grandin,Spent,Full Transfer,1.5,1.5
2010/11,19,Blackpool,DJ Campbell,Spent,Full Transfer,1.5,1.5
2010/11,19,Blackpool,Chris Basham,Spent,Full Transfer,1.4,1.4
2010/11,19,Blackpool,Craig Cathcart,Spent,Full Transfer,0.62,0.62
2010/11,19,Blackpool,Matt Phillips,Spent,Full Transfer,0.4,0.4
2010/11,19,Blackpool,Sergey Kornilenko,Spent,Loan Fee,0.3,0.3
2010/11,19,Blackpool,Ben Burgess,Received,Full Transfer,0.7,-0.7
2010/11,20,West Ham United,Pablo Barrera,Spent,Full Transfer,4.8,4.8
2010/11,20,West Ham United,Winson Raid,Spent,Full Transfer,4.2,4.2
2010/11,20,West Ham United,Gary O'Neil,Spent,Full Transfer,2.9,2.9
2010/11,20,West Ham United,Robbie Keane,Spent,Loan Fee,1.2,1.2
2010/11,20,West Ham United,Frederic Piquionne,Spent,Full Transfer,1.2,1.2
2010/11,20,West Ham United,Demba Ba,Spent,Full Transfer,0.8,0.8
2010/11,20,West Ham United,Wayne Bridge,Spent,Loan Fee,0.35,0.35
2010/11,20,West Ham United,Ruud Boffin,Spent,Full Transfer,0.3,0.3
2010/11,20,West Ham United,Paul McCallum,Spent,Full Transfer,0.07,0.07
2010/11,20,West Ham United,Alessandro Diamanti,Received,Full Transfer,2.2,-2.2
2010/11,20,West Ham United,Valon Behrami,Received,Full Transfer,2,-2
2010/11,20,West Ham United,Fabio Daprela,Received,Full Transfer,0.75,-0.75
2011/12,1,Manchester City,Sergio Aguero,Spent,Full Transfer,36,36
2011/12,1,Manchester City,Samir Nasri,Spent,Full Transfer,27.5,27.5
2011/12,1,Manchester City,Stefan Savic,Spent,Full Transfer,12,12
2011/12,1,Manchester City,Gael Clichy,Spent,Full Transfer,7.75,7.75
2011/12,1,Manchester City,Costel Pantilimon,Spent,Full Transfer,3.3,3.3
2011/12,1,Manchester City,Costel Pantilimon,Spent,Loan Fee,0.5,0.5
2011/12,1,Manchester City,Jerome Boateng,Received,Full Transfer,13.5,-13.5
2011/12,1,Manchester City,Nedum Onouha,Received,Full Transfer,4.7,-4.7
2011/12,1,Manchester City,Shaun Wright Phillips,Received,Full Transfer,4.5,-4.5
2011/12,1,Manchester City,Shay Given,Received,Full Transfer,3.75,-3.75
2011/12,1,Manchester City,Emmanuel Adebayor,Received,Loan Fee,2.25,-2.25
2011/12,1,Manchester City,Felipe Caicedo,Received,Full Transfer,1,-1
2011/12,2,Manchester United,David de Gea,Spent,Full Transfer,25,25
2011/12,2,Manchester United,Phil Jones,Spent,Full Transfer,19.3,19.3
2011/12,2,Manchester United,Ashley Young,Spent,Full Transfer,18,18
2011/12,2,Manchester United,John O'Shea,Received,Full Transfer,4.5,-4.5
2011/12,2,Manchester United,Gabriel Obertan,Received,Full Transfer,3.4,-3.4
2011/12,2,Manchester United,Mame Diouf,Received,Full Transfer,1.8,-1.8
2011/12,2,Manchester United,Wes Brown,Received,Full Transfer,1.5,-1.5
2011/12,2,Manchester United,Bebe,Received,Loan Fee,1,-1
2011/12,2,Manchester United,Danny Drinkwater,Received,Full Transfer,0.9,-0.9
2011/12,2,Manchester United,Darron Gibson,Received,Full Transfer,0.6,-0.6
2011/12,2,Manchester United,Corry Evans,Received,Full Transfer,0.57,-0.57
2011/12,2,Manchester United,Joshua King,Received,Loan Fee,0.1,-0.1
2011/12,2,Manchester United,Joe Dudgeon,Received,Full Transfer,0.01,-0.01
2011/12,3,Arsenal,Alex Oxlade Chamberlain,Spent,Full Transfer,13.8,13.8
2011/12,3,Arsenal,Gervinho,Spent,Full Transfer,12,12
2011/12,3,Arsenal,Mikel Arteta,Spent,Full Transfer,12,12
2011/12,3,Arsenal,Per Mertesacker,Spent,Full Transfer,11.3,11.3
2011/12,3,Arsenal,Andre Santos,Spent,Full Transfer,7,7
2011/12,3,Arsenal,Chu Young Park,Spent,Full Transfer,6.5,6.5
2011/12,3,Arsenal,Carl Jenkinson,Spent,Full Transfer,1.13,1.13
2011/12,3,Arsenal,Joel Campbell,Spent,Full Transfer,1,1
2011/12,3,Arsenal,Thomas Eisfeld,Spent,Full Transfer,0.75,0.75
2011/12,3,Arsenal,Cesc Fabregas,Received,Full Transfer,34,-34
2011/12,3,Arsenal,Samir Nasri,Received,Full Transfer,27.5,-27.5
2011/12,3,Arsenal,Gael Clichy,Received,Full Transfer,7.75,-7.75
2011/12,3,Arsenal,Emmanuel Eboue,Received,Full Transfer,3.5,-3.5
2011/12,3,Arsenal,Armand Traore,Received,Full Transfer,1.35,-1.35
2011/12,3,Arsenal,Jay Emmanuel Thomas,Received,Full Transfer,1.25,-1.25
2011/12,3,Arsenal,Andrey Arshavin,Received,Loan Fee,1.2,-1.2
2011/12,3,Arsenal,Nicklas Bendtner,Received,Loan Fee,1,-1
2011/12,3,Arsenal,Denilson,Received,Loan Fee,0.4,-0.4
2011/12,3,Arsenal,Pedro Botelho,Received,Loan Fee,0.34,-0.34
2011/12,4,Tottenham Hotspur,Scott Parker,Spent,Full Transfer,6.2,6.2
2011/12,4,Tottenham Hotspur,Emmanuel Adebayor,Spent,Loan Fee,2.25,2.25
2011/12,4,Tottenham Hotspur,Iago Falque,Spent,Full Transfer,1,1
2011/12,4,Tottenham Hotspur,Peter Crouch,Received,Full Transfer,11.3,-11.3
2011/12,4,Tottenham Hotspur,Roman Pavlyuchenko,Received,Full Transfer,9,-9
2011/12,4,Tottenham Hotspur,Wilson Palacios,Received,Full Transfer,9,-9
2011/12,4,Tottenham Hotspur,Alan Hutton,Received,Full Transfer,4.5,-4.5
2011/12,4,Tottenham Hotspur,Jamie O'Hara,Received,Full Transfer,3.75,-3.75
2011/12,4,Tottenham Hotspur,Robbie Keane,Received,Full Transfer,3.75,-3.75
2011/12,4,Tottenham Hotspur,Jermaine Jenas,Received,Loan Fee,1,-1
2011/12,4,Tottenham Hotspur,Vedran Corluka,Received,Loan Fee,0.55,-0.55
2011/12,4,Tottenham Hotspur,Paul Jose Mpoku,Received,Full Transfer,0.4,-0.4
